class                         precision     recall   f1-score    support

BOOK                             0.8000     1.0000     0.8889          4
DRINK                            0.6667     0.5000     0.5714          4
COMPUTER                         0.6667     0.8000     0.7273          5
BEFORE                           0.1667     0.2500     0.2000          4
CHAIR                            1.0000     0.6667     0.8000          3
GO                               1.0000     0.6667     0.8000          3
CLOTHES                          1.0000     0.6667     0.8000          3
WHO                              0.0000     0.0000     0.0000          3
CANDY                            0.5000     0.3333     0.4000          3
COUSIN                           1.0000     0.6667     0.8000          3
DEAF                             0.6667     0.6667     0.6667          3
FINE                             0.5000     0.6667     0.5714          3
HELP                             1.0000     1.0000     1.0000          3
NO                               1.0000     1.0000     1.0000          3
THIN                             1.0000     0.3333     0.5000          3
WALK                             0.6667     0.6667     0.6667          3
YEAR                             1.0000     0.6667     0.8000          3
YES                              0.0000     0.0000     0.0000          3
ALL                              0.0000     0.0000     0.0000          3
BLACK                            0.6667     0.6667     0.6667          3
COOL                             0.5000     0.6667     0.5714          3
FINISH                           0.5000     0.3333     0.4000          3
HOT                              1.0000     0.6667     0.8000          3
LIKE                             0.5000     0.3333     0.4000          3
MANY                             0.7500     1.0000     0.8571          3
MOTHER                           0.5000     0.3333     0.4000          3
NOW                              0.6667     0.6667     0.6667          3
ORANGE                           1.0000     1.0000     1.0000          3
TABLE                            1.0000     1.0000     1.0000          3
THANKSGIVING                     1.0000     0.3333     0.5000          3
WHAT                             0.4000     0.6667     0.5000          3
WOMAN                            1.0000     0.6667     0.8000          3
BED                              1.0000     1.0000     1.0000          2
BLUE                             1.0000     0.5000     0.6667          2
BOWLING                          1.0000     0.5000     0.6667          2
CAN                              0.5000     1.0000     0.6667          2
DOG                              0.5000     0.6667     0.5714          3
FAMILY                           1.0000     1.0000     1.0000          2
FISH                             0.5000     0.6667     0.5714          3
GRADUATE                         0.5000     1.0000     0.6667          2
HAT                              1.0000     0.5000     0.6667          2
HEARING                          1.0000     1.0000     1.0000          2
KISS                             0.6667     0.6667     0.6667          3
LANGUAGE                         0.6667     0.6667     0.6667          3
LATER                            0.5000     0.5000     0.5000          2
MAN                              0.2500     0.5000     0.3333          2
SHIRT                            1.0000     0.3333     0.5000          3
STUDY                            1.0000     1.0000     1.0000          2
TALL                             0.7500     1.0000     0.8571          3
WHITE                            1.0000     1.0000     1.0000          2
WRONG                            1.0000     1.0000     1.0000          2
ACCIDENT                         0.6667     0.6667     0.6667          3
APPLE                            1.0000     1.0000     1.0000          2
BIRD                             1.0000     0.5000     0.6667          2
CHANGE                           1.0000     0.5000     0.6667          2
COLOR                            1.0000     0.5000     0.6667          2
CORN                             0.0000     0.0000     0.0000          3
COW                              1.0000     0.6667     0.8000          3
DANCE                            0.5000     0.5000     0.5000          2
DARK                             1.0000     0.6667     0.8000          3
DOCTOR                           0.0000     0.0000     0.0000          3
EAT                              0.3333     0.5000     0.4000          2
ENJOY                            0.0000     0.0000     0.0000          2
FORGET                           0.0000     0.0000     0.0000          2
GIVE                             1.0000     1.0000     1.0000          2
LAST                             1.0000     0.6667     0.8000          3
MEET                             1.0000     1.0000     1.0000          2
PINK                             0.7500     1.0000     0.8571          3
PIZZA                            0.5000     0.3333     0.4000          3
PLAY                             0.4000     1.0000     0.5714          2
SCHOOL                           0.2500     0.5000     0.3333          2
SECRETARY                        0.5000     0.6667     0.5714          3
SHORT                            1.0000     0.5000     0.6667          2
TIME                             0.3333     0.5000     0.4000          2
WANT                             0.0000     0.0000     0.0000          2
WORK                             1.0000     0.5000     0.6667          2
AFRICA                           1.0000     0.3333     0.5000          3
BASKETBALL                       1.0000     1.0000     1.0000          2
BIRTHDAY                         0.0000     0.0000     0.0000          3
BROWN                            1.0000     1.0000     1.0000          2
BUT                              0.5000     0.6667     0.5714          3
CHEAT                            1.0000     0.5000     0.6667          2
CITY                             0.5000     1.0000     0.6667          2
COOK                             1.0000     0.5000     0.6667          2
DECIDE                           1.0000     1.0000     1.0000          2
FULL                             0.5000     0.5000     0.5000          2
HOW                              0.7500     1.0000     0.8571          3
JACKET                           0.0000     0.0000     0.0000          2
LETTER                           0.3333     0.3333     0.3333          3
MEDICINE                         0.0000     0.0000     0.0000          2
NEED                             0.6667     1.0000     0.8000          2
PAINT                            0.0000     0.0000     0.0000          2
PAPER                            0.5000     0.5000     0.5000          2
PULL                             0.6667     1.0000     0.8000          2
PURPLE                           0.0000     0.0000     0.0000          2
RIGHT                            0.0000     0.0000     0.0000          2
SAME                             0.3333     0.3333     0.3333          3
SON                              0.3333     0.5000     0.4000          2
TELL                             1.0000     0.5000     0.6667          2
THURSDAY                         1.0000     1.0000     1.0000          2
VISIT                            1.0000     1.0000     1.0000          2
WAIT                             1.0000     0.5000     0.6667          2
WATER                            0.6667     1.0000     0.8000          2
WIFE                             0.6667     1.0000     0.8000          2
YELLOW                           1.0000     0.5000     0.6667          2
BACKPACK                         0.0000     0.0000     0.0000          3
BAR                              0.0000     0.0000     0.0000          3
BROTHER                          1.0000     0.5000     0.6667          2
CAT                              0.6667     1.0000     0.8000          2
CHECK                            0.0000     0.0000     0.0000          3
CLASS                            1.0000     1.0000     1.0000          2
CRY                              1.0000     0.5000     0.6667          2
DIFFERENT                        0.0000     0.0000     0.0000          2
DOOR                             0.6667     1.0000     0.8000          2
GREEN                            0.0000     0.0000     0.0000          2
HAIR                             0.5000     0.5000     0.5000          2
HAVE                             1.0000     0.5000     0.6667          2
HEADACHE                         0.6667     1.0000     0.8000          2
INFORM                           1.0000     0.6667     0.8000          3
KNIFE                            0.0000     0.0000     0.0000          2
LAUGH                            0.6667     0.6667     0.6667          3
LEARN                            0.5000     1.0000     0.6667          2
MOVIE                            0.0000     0.0000     0.0000          2
RABBIT                           1.0000     0.3333     0.5000          3
READ                             0.5000     1.0000     0.6667          2
RED                              1.0000     1.0000     1.0000          2
ROOM                             0.3333     0.3333     0.3333          3
RUN                              0.5000     1.0000     0.6667          2
SHOW                             1.0000     1.0000     1.0000          2
SICK                             0.0000     0.0000     0.0000          2
SNOW                             1.0000     1.0000     1.0000          2
TAKE                             0.0000     0.0000     0.0000          3
TEA                              0.6667     1.0000     0.8000          2
TEACHER                          1.0000     1.0000     1.0000          2
WEEK                             1.0000     1.0000     1.0000          2
WHY                              0.3333     0.5000     0.4000          2
WITH                             1.0000     1.0000     1.0000          2
WRITE                            1.0000     1.0000     1.0000          2
YESTERDAY                        0.2000     0.5000     0.2857          2
AGAIN                            0.6667     1.0000     0.8000          2
BAD                              1.0000     1.0000     1.0000          2
BALL                             1.0000     1.0000     1.0000          2
BATHROOM                         1.0000     0.5000     0.6667          2
BLANKET                          0.0000     0.0000     0.0000          2
BUY                              0.0000     0.0000     0.0000          2
CALL                             0.5000     0.5000     0.5000          2
COFFEE                           0.5000     1.0000     0.6667          2
COLD                             0.6667     1.0000     0.8000          2
COLLEGE                          0.0000     0.0000     0.0000          2
COPY                             1.0000     0.5000     0.6667          2
CUTE                             0.0000     0.0000     0.0000          2
DAUGHTER                         0.0000     0.0000     0.0000          2
FAR                              1.0000     0.3333     0.5000          3
FIRST                            1.0000     0.5000     0.6667          2
FRIEND                           0.5000     0.5000     0.5000          2
GOOD                             1.0000     0.5000     0.6667          2
HAPPY                            0.0000     0.0000     0.0000          2
HOME                             1.0000     0.5000     0.6667          2
KNOW                             0.5000     1.0000     0.6667          2
LATE                             1.0000     1.0000     1.0000          2
LEAVE                            0.0000     0.0000     0.0000          2
LIST                             0.6667     1.0000     0.8000          2
LOSE                             1.0000     1.0000     1.0000          2
NAME                             0.1667     0.5000     0.2500          2
OLD                              0.5000     0.5000     0.5000          2
PERSON                           0.5000     0.5000     0.5000          2
POLICE                           0.6667     1.0000     0.8000          2
PROBLEM                          0.6667     1.0000     0.8000          2
REMEMBER                         0.0000     0.0000     0.0000          2
SHARE                            0.5000     0.5000     0.5000          2
SOON                             0.2500     0.3333     0.2857          3
STAY                             0.2500     0.5000     0.3333          2
SUNDAY                           0.5000     1.0000     0.6667          2
TEST                             0.6667     1.0000     0.8000          2
TIRED                            1.0000     0.5000     0.6667          2
TRADE                            0.5000     0.5000     0.5000          2
TRAVEL                           0.6667     1.0000     0.8000          2
WINDOW                           0.5000     0.5000     0.5000          2
YOU                              0.1667     0.5000     0.2500          2
ABOUT                            0.6667     1.0000     0.8000          2
APPROVE                          0.0000     0.0000     0.0000          2
ARRIVE                           0.3333     0.5000     0.4000          2
BALANCE                          0.3333     0.5000     0.4000          2
BANANA                           0.0000     0.0000     0.0000          2
BEARD                            0.6667     1.0000     0.8000          2
BECAUSE                          0.0000     0.0000     0.0000          2
BOY                              1.0000     1.0000     1.0000          2
BUSINESS                         1.0000     0.5000     0.6667          2
CAREFUL                          1.0000     1.0000     1.0000          2
CENTER                           1.0000     0.5000     0.6667          2
CHAT                             0.5000     1.0000     0.6667          2
CHILDREN                         1.0000     0.5000     0.6667          2
CHRISTMAS                        1.0000     0.5000     0.6667          2
CLOCK                            0.5000     0.5000     0.5000          2
CLOSE                            0.5000     0.5000     0.5000          2
CONVINCE                         0.5000     0.5000     0.5000          2
COUNTRY                          0.3333     1.0000     0.5000          2
CRASH                            0.3333     0.5000     0.4000          2
DAY                              0.6667     1.0000     0.8000          2
DISCUSS                          0.6667     1.0000     0.8000          2
DRESS                            0.0000     0.0000     0.0000          2
DRIVE                            1.0000     0.5000     0.6667          2
DROP                             1.0000     1.0000     1.0000          2
EXAMPLE                          0.0000     0.0000     0.0000          2
FAT                              1.0000     0.5000     0.6667          2
FEEL                             1.0000     0.5000     0.6667          2
FOOTBALL                         0.4000     1.0000     0.5714          2
FUTURE                           1.0000     0.5000     0.6667          2
GAME                             0.5000     1.0000     0.6667          2
GIRL                             0.4000     1.0000     0.5714          2
GOVERNMENT                       0.3333     0.5000     0.4000          2
HEAR                             0.3333     0.5000     0.4000          2
HERE                             0.5000     0.5000     0.5000          2
HOPE                             0.3333     0.5000     0.4000          2
HOUSE                            0.0000     0.0000     0.0000          2
HUSBAND                          1.0000     0.5000     0.6667          2
INTEREST                         0.3333     0.5000     0.4000          2
JOIN                             0.5000     0.5000     0.5000          2
LIGHT                            0.2500     0.5000     0.3333          2
LIVE                             1.0000     1.0000     1.0000          2
MAKE                             0.6667     1.0000     0.8000          2
MEAN                             0.5000     0.5000     0.5000          2
MORE                             0.3333     0.5000     0.4000          2
MOST                             1.0000     1.0000     1.0000          2
MUSIC                            0.5000     0.5000     0.5000          2
NEW                              0.5000     1.0000     0.6667          2
NONE                             1.0000     1.0000     1.0000          2
OFFICE                           1.0000     0.5000     0.6667          2
ORDER                            0.5000     0.5000     0.5000          2
PANTS                            0.3333     0.5000     0.4000          2
PARTY                            0.1667     0.5000     0.2500          2
PAST                             0.0000     0.0000     0.0000          2
PENCIL                           0.5000     1.0000     0.6667          2
PLAN                             0.5000     0.5000     0.5000          2
PLEASE                           0.2500     0.5000     0.3333          2
PRACTICE                         0.3333     0.5000     0.4000          2
PRESIDENT                        0.5000     1.0000     0.6667          2
RESTAURANT                       0.0000     0.0000     0.0000          2
RIDE                             0.6667     1.0000     0.8000          2
RUSSIA                           0.3333     0.5000     0.4000          2
SALT                             0.3333     0.5000     0.4000          2
SANDWICH                         0.3333     0.5000     0.4000          2
SIGN                             0.0000     0.0000     0.0000          2
SINCE                            0.6667     1.0000     0.8000          2
SMALL                            0.0000     0.0000     0.0000          2
SOME                             0.0000     0.0000     0.0000          2
SOUTH                            0.5000     0.5000     0.5000          2
STUDENT                          1.0000     0.5000     0.6667          2
TEACH                            0.5000     1.0000     0.6667          2
THEORY                           0.6667     1.0000     0.8000          2
TOMATO                           0.5000     1.0000     0.6667          2
TRAIN                            0.0000     0.0000     0.0000          2
UGLY                             0.0000     0.0000     0.0000          2
WAR                              0.5000     0.5000     0.5000          2
WHERE                            0.0000     0.0000     0.0000          2
YOUR                             0.6667     1.0000     0.8000          2
ALWAYS                           1.0000     1.0000     1.0000          2
ANIMAL                           0.4000     1.0000     0.5714          2
ARGUE                            0.5000     0.5000     0.5000          2
BABY                             0.0000     0.0000     0.0000          2
BACK                             1.0000     0.5000     0.6667          2
BAKE                             0.5000     0.5000     0.5000          2
BATH                             1.0000     0.5000     0.6667          2
BEHIND                           0.2500     0.5000     0.3333          2
BRING                            0.0000     0.0000     0.0000          2
CATCH                            0.6667     1.0000     0.8000          2
CEREAL                           0.0000     0.0000     0.0000          2
CHAMPION                         0.3333     0.5000     0.4000          2
CHEESE                           1.0000     0.5000     0.6667          2
COUGH                            0.6667     1.0000     0.8000          2
CRAZY                            0.0000     0.0000     0.0000          2
DELAY                            0.5000     0.5000     0.5000          2
DELICIOUS                        0.0000     0.0000     0.0000          2
DISAPPEAR                        0.5000     0.5000     0.5000          2
DIVORCE                          0.3333     0.5000     0.4000          2
DRAW                             1.0000     1.0000     1.0000          2
EAST                             0.5000     0.5000     0.5000          2
EASY                             1.0000     0.5000     0.6667          2
EGG                              1.0000     0.5000     0.6667          2
ENVIRONMENT                      0.4000     1.0000     0.5714          2
FATHER                           0.0000     0.0000     0.0000          2
FAULT                            1.0000     1.0000     1.0000          2
FLOWER                           1.0000     0.5000     0.6667          2
FRIENDLY                         0.5000     0.5000     0.5000          2
GLASSES                          1.0000     1.0000     1.0000          2
HALLOWEEN                        0.0000     0.0000     0.0000          2
HARD                             1.0000     0.5000     0.6667          2
HEART                            0.5000     0.5000     0.5000          2
HOUR                             1.0000     0.5000     0.6667          2
HUMBLE                           1.0000     1.0000     1.0000          2
HURRY                            1.0000     1.0000     1.0000          2
IMPROVE                          1.0000     0.5000     0.6667          2
INTERNET                         1.0000     1.0000     1.0000          2
JUMP                             0.2000     0.5000     0.2857          2
KILL                             0.0000     0.0000     0.0000          2
LAW                              0.6667     1.0000     0.8000          2
MATCH                            0.2500     0.5000     0.3333          2
MEAT                             0.6667     1.0000     0.8000          2
MILK                             0.0000     0.0000     0.0000          2
MONEY                            0.3333     0.5000     0.4000          2

accuracy                                               0.5749        668
macro avg                        0.5770     0.5796     0.5475        668
weighted avg                     0.5808     0.5749     0.5475        668
