"Class group","Gloss","Precision","Recall","F1","Support","Main note"
"Strong","HELP","1.000","1.000","1.000","3","Fully recovered on held-out split"
"Strong","NO","1.000","1.000","1.000","3","Fully recovered on held-out split"
"Strong","TABLE","1.000","1.000","1.000","3","Fully recovered on held-out split"
"Strong","HOW","0.750","1.000","0.857","3","High recall with small support"
"Strong","MANY","0.750","1.000","0.857","3","High recall with small support"
"Weak","BEFORE","0.000","0.000","0.000","4","Often confused with `FATHER`"
"Weak","WHO","0.000","0.000","0.000","3","Most often predicted as `RUSSIA`"
"Weak","FINE","0.000","0.000","0.000","3","Most often predicted as `MAN`"
"Weak","THIN","0.000","0.000","0.000","3","Most often predicted as `SOON`"
"Weak","CORN","0.000","0.000","0.000","3","Most often predicted as `BALL`"
"Weak","PINK","0.000","0.000","0.000","3","Most often predicted as `HARD`"
"Weak","BIRTHDAY","0.000","0.000","0.000","3","Most often predicted as `ACCIDENT`"
"Weak","BACKPACK","0.000","0.000","0.000","3","Most often predicted as `DOOR`"
"Weak","BAR","0.000","0.000","0.000","3","Often confused with `YESTERDAY`"
"Weak","CHECK","0.000","0.000","0.000","3","Often confused with `LETTER`"
"Weak","FAR","0.000","0.000","0.000","3","Most often predicted as `BEHIND`"
"Weak","KISS","0.250","0.333","0.286","3","Repeated overlap with `MORE`"
"Weak","DRINK","0.500","0.250","0.333","4","Low recall despite higher support"
"Weak","YES","0.200","0.333","0.250","3","Most often predicted as `EAST`"
"Weak","LETTER","0.250","0.333","0.286","3","Most often predicted as `HEADACHE`"
