"True gloss","Predicted gloss","Count","Category","Suggested direction"
"CHAIR","TRAIN","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"DEAF","GOVERNMENT","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"KISS","MORE","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"DOCTOR","LEARN","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"BUT","DIFFERENT","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"SON","DAUGHTER","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"BAR","YESTERDAY","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"CHECK","LETTER","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"MOVIE","BUSINESS","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
"SALT","TRAIN","2","Temporal Confusion","More motion-aware training, longer windows, pose cues"
