"Gloss","Precision","Recall","F1","Support"
"ABOUT","0.250","0.500","0.333","2"
"ACCIDENT","0.333","0.333","0.333","3"
"AFRICA","1.000","0.333","0.500","3"
"AGAIN","0.000","0.000","0.000","2"
"ALL","0.667","0.667","0.667","3"
"ALWAYS","1.000","1.000","1.000","2"
"ANIMAL","0.400","1.000","0.571","2"
"APPLE","1.000","1.000","1.000","2"
"APPROVE","0.000","0.000","0.000","2"
"ARGUE","1.000","1.000","1.000","2"
"ARRIVE","0.500","0.500","0.500","2"
"BABY","0.000","0.000","0.000","2"
"BACK","0.000","0.000","0.000","2"
"BACKPACK","0.000","0.000","0.000","3"
"BAD","0.000","0.000","0.000","2"
"BAKE","1.000","1.000","1.000","2"
"BALANCE","0.333","0.500","0.400","2"
"BALL","0.667","1.000","0.800","2"
"BANANA","0.400","1.000","0.571","2"
"BAR","0.000","0.000","0.000","3"
"BASKETBALL","1.000","0.500","0.667","2"
"BATH","1.000","0.500","0.667","2"
"BATHROOM","0.500","0.500","0.500","2"
"BEARD","1.000","1.000","1.000","2"
"BECAUSE","1.000","0.500","0.667","2"
"BED","1.000","1.000","1.000","2"
"BEFORE","0.000","0.000","0.000","4"
"BEHIND","0.333","0.500","0.400","2"
"BIRD","0.250","0.500","0.333","2"
"BIRTHDAY","0.000","0.000","0.000","3"
"BLACK","0.667","0.667","0.667","3"
"BLANKET","0.000","0.000","0.000","2"
"BLUE","0.667","1.000","0.800","2"
"BOOK","0.600","0.750","0.667","4"
"BOWLING","1.000","0.500","0.667","2"
"BOY","0.667","1.000","0.800","2"
"BRING","0.000","0.000","0.000","2"
"BROTHER","0.000","0.000","0.000","2"
"BROWN","1.000","0.500","0.667","2"
"BUSINESS","0.500","1.000","0.667","2"
"BUT","1.000","0.333","0.500","3"
"BUY","0.000","0.000","0.000","2"
"CALL","0.500","0.500","0.500","2"
"CAN","1.000","1.000","1.000","2"
"CANDY","1.000","0.333","0.500","3"
"CAREFUL","1.000","1.000","1.000","2"
"CAT","0.667","1.000","0.800","2"
"CATCH","0.000","0.000","0.000","2"
"CENTER","0.500","0.500","0.500","2"
"CEREAL","0.000","0.000","0.000","2"
"CHAIR","1.000","0.333","0.500","3"
"CHAMPION","0.500","0.500","0.500","2"
"CHANGE","1.000","0.500","0.667","2"
"CHAT","0.500","1.000","0.667","2"
"CHEAT","1.000","0.500","0.667","2"
"CHECK","0.000","0.000","0.000","3"
"CHEESE","0.500","0.500","0.500","2"
"CHILDREN","0.000","0.000","0.000","2"
"CHRISTMAS","1.000","0.500","0.667","2"
"CITY","0.400","1.000","0.571","2"
"CLASS","1.000","1.000","1.000","2"
"CLOCK","1.000","0.500","0.667","2"
"CLOSE","0.000","0.000","0.000","2"
"CLOTHES","0.333","0.333","0.333","3"
"COFFEE","0.500","0.500","0.500","2"
"COLD","0.500","1.000","0.667","2"
"COLLEGE","0.000","0.000","0.000","2"
"COLOR","0.500","0.500","0.500","2"
"COMPUTER","0.750","0.600","0.667","5"
"CONVINCE","1.000","0.500","0.667","2"
"COOK","0.000","0.000","0.000","2"
"COOL","0.333","0.333","0.333","3"
"COPY","1.000","0.500","0.667","2"
"CORN","0.000","0.000","0.000","3"
"COUGH","1.000","1.000","1.000","2"
"COUNTRY","0.500","1.000","0.667","2"
"COUSIN","1.000","0.667","0.800","3"
"COW","0.667","0.667","0.667","3"
"CRASH","1.000","0.500","0.667","2"
"CRAZY","0.000","0.000","0.000","2"
"CRY","0.400","1.000","0.571","2"
"CUTE","0.000","0.000","0.000","2"
"DANCE","0.500","0.500","0.500","2"
"DARK","0.500","0.333","0.400","3"
"DAUGHTER","0.250","0.500","0.333","2"
"DAY","1.000","1.000","1.000","2"
"DEAF","0.333","0.333","0.333","3"
"DECIDE","1.000","0.500","0.667","2"
"DELAY","0.333","0.500","0.400","2"
"DELICIOUS","0.000","0.000","0.000","2"
"DIFFERENT","0.500","1.000","0.667","2"
"DISAPPEAR","0.500","0.500","0.500","2"
"DISCUSS","0.667","1.000","0.800","2"
"DIVORCE","1.000","0.500","0.667","2"
"DOCTOR","1.000","0.333","0.500","3"
"DOG","0.500","0.667","0.571","3"
"DOOR","0.667","1.000","0.800","2"
"DRAW","1.000","0.500","0.667","2"
"DRESS","0.000","0.000","0.000","2"
"DRINK","0.500","0.250","0.333","4"
"DRIVE","1.000","0.500","0.667","2"
"DROP","1.000","1.000","1.000","2"
"EAST","0.500","0.500","0.500","2"
"EASY","0.500","1.000","0.667","2"
"EAT","1.000","0.500","0.667","2"
"EGG","0.333","0.500","0.400","2"
"ENJOY","0.000","0.000","0.000","2"
"ENVIRONMENT","0.000","0.000","0.000","2"
"EXAMPLE","1.000","0.500","0.667","2"
"FAMILY","1.000","1.000","1.000","2"
"FAR","0.000","0.000","0.000","3"
"FAT","1.000","0.500","0.667","2"
"FATHER","0.000","0.000","0.000","2"
"FAULT","1.000","0.500","0.667","2"
"FEEL","1.000","0.500","0.667","2"
"FINE","0.000","0.000","0.000","3"
"FINISH","0.667","0.667","0.667","3"
"FIRST","0.500","0.500","0.500","2"
"FISH","1.000","0.667","0.800","3"
"FLOWER","1.000","1.000","1.000","2"
"FOOTBALL","0.667","1.000","0.800","2"
"FORGET","0.000","0.000","0.000","2"
"FRIEND","1.000","0.500","0.667","2"
"FRIENDLY","0.000","0.000","0.000","2"
"FULL","1.000","0.500","0.667","2"
"FUTURE","1.000","1.000","1.000","2"
"GAME","0.333","1.000","0.500","2"
"GIRL","0.250","0.500","0.333","2"
"GIVE","0.667","1.000","0.800","2"
"GLASSES","0.667","1.000","0.800","2"
"GO","0.667","0.667","0.667","3"
"GOOD","0.000","0.000","0.000","2"
"GOVERNMENT","0.400","1.000","0.571","2"
"GRADUATE","0.500","1.000","0.667","2"
"GREEN","0.000","0.000","0.000","2"
"HAIR","1.000","0.500","0.667","2"
"HALLOWEEN","0.333","0.500","0.400","2"
"HAPPY","0.000","0.000","0.000","2"
"HARD","0.500","0.500","0.500","2"
"HAT","1.000","0.500","0.667","2"
"HAVE","1.000","0.500","0.667","2"
"HEADACHE","0.667","1.000","0.800","2"
"HEAR","1.000","0.500","0.667","2"
"HEARING","1.000","0.500","0.667","2"
"HEART","1.000","1.000","1.000","2"
"HELP","1.000","1.000","1.000","3"
"HERE","0.000","0.000","0.000","2"
"HOME","0.500","0.500","0.500","2"
"HOPE","1.000","0.500","0.667","2"
"HOT","1.000","0.667","0.800","3"
"HOUR","0.000","0.000","0.000","2"
"HOUSE","0.500","0.500","0.500","2"
"HOW","0.750","1.000","0.857","3"
"HUMBLE","0.250","0.500","0.333","2"
"HURRY","0.500","1.000","0.667","2"
"HUSBAND","1.000","0.500","0.667","2"
"IMPROVE","0.333","0.500","0.400","2"
"INFORM","1.000","0.667","0.800","3"
"INTEREST","0.000","0.000","0.000","2"
"INTERNET","1.000","1.000","1.000","2"
"JACKET","0.000","0.000","0.000","2"
"JOIN","1.000","0.500","0.667","2"
"JUMP","0.400","1.000","0.571","2"
"KILL","0.000","0.000","0.000","2"
"KISS","0.250","0.333","0.286","3"
"KNIFE","0.500","0.500","0.500","2"
"KNOW","0.000","0.000","0.000","2"
"LANGUAGE","1.000","0.333","0.500","3"
"LAST","0.667","0.667","0.667","3"
"LATE","1.000","1.000","1.000","2"
"LATER","0.000","0.000","0.000","2"
"LAUGH","0.500","0.333","0.400","3"
"LAW","0.500","1.000","0.667","2"
"LEARN","0.400","1.000","0.571","2"
"LEAVE","0.000","0.000","0.000","2"
"LETTER","0.250","0.333","0.286","3"
"LIGHT","1.000","0.500","0.667","2"
"LIKE","1.000","0.667","0.800","3"
"LIST","0.000","0.000","0.000","2"
"LIVE","1.000","0.500","0.667","2"
"LOSE","0.000","0.000","0.000","2"
"MAKE","0.667","1.000","0.800","2"
"MAN","0.167","0.500","0.250","2"
"MANY","0.750","1.000","0.857","3"
"MATCH","1.000","0.500","0.667","2"
"MEAN","0.000","0.000","0.000","2"
"MEAT","1.000","0.500","0.667","2"
"MEDICINE","0.500","0.500","0.500","2"
"MEET","1.000","1.000","1.000","2"
"MILK","0.500","0.500","0.500","2"
"MONEY","0.667","1.000","0.800","2"
"MORE","0.250","0.500","0.333","2"
"MOST","0.400","1.000","0.571","2"
"MOTHER","0.333","0.333","0.333","3"
"MOVIE","0.000","0.000","0.000","2"
"MUSIC","0.000","0.000","0.000","2"
"NAME","0.250","0.500","0.333","2"
"NEED","1.000","0.500","0.667","2"
"NEW","0.400","1.000","0.571","2"
"NO","1.000","1.000","1.000","3"
"NONE","1.000","1.000","1.000","2"
"NOW","0.500","0.667","0.571","3"
"OFFICE","0.667","1.000","0.800","2"
