class                         precision     recall   f1-score    support

BOOK                             0.7500     0.7500     0.7500          4
DRINK                            1.0000     0.5000     0.6667          4
COMPUTER                         1.0000     1.0000     1.0000          5
BEFORE                           0.0000     0.0000     0.0000          4
CHAIR                            0.6667     0.6667     0.6667          3
GO                               1.0000     0.6667     0.8000          3
CLOTHES                          1.0000     0.6667     0.8000          3
WHO                              0.0000     0.0000     0.0000          3
CANDY                            0.5000     0.3333     0.4000          3
COUSIN                           1.0000     0.6667     0.8000          3
DEAF                             0.6667     0.6667     0.6667          3
FINE                             0.6667     0.6667     0.6667          3
HELP                             1.0000     1.0000     1.0000          3
NO                               1.0000     0.3333     0.5000          3
THIN                             0.0000     0.0000     0.0000          3
WALK                             0.3333     0.3333     0.3333          3
YEAR                             0.5000     1.0000     0.6667          3
YES                              0.5000     0.6667     0.5714          3
ALL                              0.0000     0.0000     0.0000          3
BLACK                            0.7500     1.0000     0.8571          3
COOL                             0.2500     0.3333     0.2857          3
FINISH                           1.0000     0.6667     0.8000          3
HOT                              0.6667     0.6667     0.6667          3
LIKE                             1.0000     0.3333     0.5000          3
MANY                             0.7500     1.0000     0.8571          3
MOTHER                           1.0000     1.0000     1.0000          3
NOW                              0.6667     0.6667     0.6667          3
ORANGE                           0.7500     1.0000     0.8571          3
TABLE                            1.0000     0.6667     0.8000          3
THANKSGIVING                     1.0000     0.3333     0.5000          3
WHAT                             0.4000     0.6667     0.5000          3
WOMAN                            0.6667     0.6667     0.6667          3
BED                              0.6667     1.0000     0.8000          2
BLUE                             1.0000     0.5000     0.6667          2
BOWLING                          0.5000     0.5000     0.5000          2
CAN                              1.0000     1.0000     1.0000          2
DOG                              0.4286     1.0000     0.6000          3
FAMILY                           1.0000     0.5000     0.6667          2
FISH                             0.4000     0.6667     0.5000          3
GRADUATE                         0.6667     1.0000     0.8000          2
HAT                              1.0000     0.5000     0.6667          2
HEARING                          1.0000     1.0000     1.0000          2
KISS                             0.6667     0.6667     0.6667          3
LANGUAGE                         0.6667     0.6667     0.6667          3
LATER                            0.5000     0.5000     0.5000          2
MAN                              0.5000     0.5000     0.5000          2
SHIRT                            1.0000     0.6667     0.8000          3
STUDY                            1.0000     1.0000     1.0000          2
TALL                             1.0000     0.6667     0.8000          3
WHITE                            1.0000     1.0000     1.0000          2
WRONG                            0.4000     1.0000     0.5714          2
ACCIDENT                         1.0000     0.3333     0.5000          3
APPLE                            1.0000     1.0000     1.0000          2
BIRD                             0.5000     0.5000     0.5000          2
CHANGE                           1.0000     0.5000     0.6667          2
COLOR                            0.3333     0.5000     0.4000          2
CORN                             1.0000     0.3333     0.5000          3
COW                              0.5000     0.3333     0.4000          3
DANCE                            0.6667     1.0000     0.8000          2
DARK                             0.6667     0.6667     0.6667          3
DOCTOR                           0.0000     0.0000     0.0000          3
EAT                              0.5000     0.5000     0.5000          2
ENJOY                            0.3333     0.5000     0.4000          2
FORGET                           0.0000     0.0000     0.0000          2
GIVE                             1.0000     0.5000     0.6667          2
LAST                             0.0000     0.0000     0.0000          3
MEET                             0.5000     1.0000     0.6667          2
PINK                             0.6667     0.6667     0.6667          3
PIZZA                            0.5000     0.3333     0.4000          3
PLAY                             0.1667     0.5000     0.2500          2
SCHOOL                           0.0000     0.0000     0.0000          2
SECRETARY                        1.0000     0.6667     0.8000          3
SHORT                            0.6667     1.0000     0.8000          2
TIME                             0.5000     1.0000     0.6667          2
WANT                             0.5000     0.5000     0.5000          2
WORK                             1.0000     1.0000     1.0000          2
AFRICA                           0.6667     0.6667     0.6667          3
BASKETBALL                       0.6667     1.0000     0.8000          2
BIRTHDAY                         1.0000     0.3333     0.5000          3
BROWN                            1.0000     1.0000     1.0000          2
BUT                              0.2500     0.3333     0.2857          3
CHEAT                            0.0000     0.0000     0.0000          2
CITY                             0.5000     0.5000     0.5000          2
COOK                             0.5000     0.5000     0.5000          2
DECIDE                           1.0000     1.0000     1.0000          2
FULL                             1.0000     0.5000     0.6667          2
HOW                              1.0000     1.0000     1.0000          3
JACKET                           0.2500     0.5000     0.3333          2
LETTER                           1.0000     0.3333     0.5000          3
MEDICINE                         0.5000     0.5000     0.5000          2
NEED                             1.0000     0.5000     0.6667          2
PAINT                            1.0000     0.5000     0.6667          2
PAPER                            0.3333     0.5000     0.4000          2
PULL                             0.5000     0.5000     0.5000          2
PURPLE                           1.0000     0.5000     0.6667          2
RIGHT                            0.0000     0.0000     0.0000          2
SAME                             0.3333     0.3333     0.3333          3
SON                              0.5000     0.5000     0.5000          2
TELL                             0.6667     1.0000     0.8000          2
THURSDAY                         1.0000     1.0000     1.0000          2
VISIT                            1.0000     1.0000     1.0000          2
WAIT                             1.0000     0.5000     0.6667          2
WATER                            0.6667     1.0000     0.8000          2
WIFE                             0.5000     0.5000     0.5000          2
YELLOW                           0.5000     0.5000     0.5000          2
BACKPACK                         0.0000     0.0000     0.0000          3
BAR                              0.5000     0.6667     0.5714          3
BROTHER                          1.0000     0.5000     0.6667          2
CAT                              0.6667     1.0000     0.8000          2
CHECK                            0.0000     0.0000     0.0000          3
CLASS                            0.6667     1.0000     0.8000          2
CRY                              1.0000     1.0000     1.0000          2
DIFFERENT                        0.0000     0.0000     0.0000          2
DOOR                             1.0000     1.0000     1.0000          2
GREEN                            0.0000     0.0000     0.0000          2
HAIR                             0.5000     0.5000     0.5000          2
HAVE                             1.0000     1.0000     1.0000          2
HEADACHE                         1.0000     0.5000     0.6667          2
INFORM                           1.0000     1.0000     1.0000          3
KNIFE                            0.5000     0.5000     0.5000          2
LAUGH                            1.0000     0.6667     0.8000          3
LEARN                            1.0000     1.0000     1.0000          2
MOVIE                            0.0000     0.0000     0.0000          2
RABBIT                           1.0000     0.3333     0.5000          3
READ                             0.6667     1.0000     0.8000          2
RED                              1.0000     0.5000     0.6667          2
ROOM                             1.0000     0.6667     0.8000          3
RUN                              0.5000     0.5000     0.5000          2
